buld_nm,승강기번호,주소,고장,고장일자,,sido,sigungu,buld_nm,,,,,,,,
필모텔,561-01540,전라북도 전주시 덕진구 용산1길 6-5 (금암동),Y,2013.1.15,,전라북도,전주시,덕진구,,,,,,,,
경부선성환역사,331-03274,충청남도 천안시 서북구 성환읍 성환1로 237-5 ,Y,2011.2.23,,충청남도,천안시,서북구,,,,,,,,
경부선성환역사,331-03274,충청남도 천안시 서북구 성환읍 성환1로 237-5 ,Y,2011.1.3,,충청남도,천안시,서북구,,,,,,,,
경부선성환역사,331-03269,충청남도 천안시 서북구 성환읍 성환1로 237-5 ,Y,2012.8.2,,충청남도,천안시,서북구,,,,,,,,
경부선성환역사,331-03269,충청남도 천안시 서북구 성환읍 성환1로 237-5 ,Y,2008.6.21,,충청남도,천안시,서북구,,,,,,,,
진명빌딩,157-02318,서울특별시 강서구 강서로45길 29 (화곡동),Y,2011.5.25,,서울특별시,강서구,강서로45길,,,,,,,,
영파크,363-00984,충청북도 청주시 청원구 오창읍 중심상업2로 9-38 ,Y,2015.11.3,,충청북도,청주시,청원구,,,,,,,,
영파크,363-00984,충청북도 청주시 청원구 오창읍 중심상업2로 9-38 ,Y,2015.11.3,,충청북도,청주시,청원구,,,,,,,,
영파크,363-00984,충청북도 청주시 청원구 오창읍 중심상업2로 9-38 ,Y,2013.3.24,,충청북도,청주시,청원구,,,,,,,,
광양마동주공아파트,545-00909,"전라남도 광양시 진등6길 31 (마동, 마동주공아파트)",Y,2014.9.28,,전라남도,광양시,진등6길,,,,,,,,
광양마동주공아파트,545-00909,"전라남도 광양시 진등6길 31 (마동, 마동주공아파트)",Y,2009.6.7,,전라남도,광양시,진등6길,,,,,,,,
제일프라자,404-02080,인천광역시 서구 승학로 567 (검암동),Y,2011.7.12,,인천광역시,서구,승학로,,,,,,,,
충남근로자복지회관,330-05147,충청남도 천안시 동남구 충무로 457 (원성동),Y,2014.1.9,,충청남도,천안시,동남구,,,,,,,,
한양아트빌,122-01915,서울특별시 은평구 증산로 395-16 (신사동),Y,2012.1.6,,서울특별시,은평구,증산로,,,,,,,,
우영빌딩,100-04893,서울특별시 중구 다산로36길 53 (신당동),Y,2012.5.27,,서울특별시,중구,다산로36길,,,,,,,,
이천시청사,467-01323,경기도 이천시 부악로 40  (중리동),Y,2012.3.24,,경기도,이천시,부악로,,,,,,,,
동두천보건소,483-00750,경기도 동두천시 중앙로 167 (생연동),Y,2008.6.13,,경기도,동두천시,중앙로,,,,,,,,
예채1차아파트,235-00195,강원도 태백시 대학길 81 (황지동),Y,2011.1.27,,강원도,태백시,대학길,,,,,,,,
포도원교회비전관,616-02391,부산광역시 북구 용당로 13 (화명동),Y,2008.5.9,,부산광역시,북구,용당로,,,,,,,,
서진빌딩,151-03270,서울특별시 관악구 관악로17길 3 (봉천동),Y,2011.10.10,,서울특별시,관악구,관악로17길,,,,,,,,
서진빌딩,151-03270,서울특별시 관악구 관악로17길 3 (봉천동),Y,2013.8.22,,서울특별시,관악구,관악로17길,,,,,,,,
서울숲푸르지오아파트,133-02468,서울특별시 성동구 금호로 15 (금호동4가),Y,2014.7.12,,서울특별시,성동구,금호로,,,,,,,,
대덕테크노밸리12단지,305-03304,대전광역시 유성구 배울1로 119 (용산동),Y,2010.6.14,,대전광역시,유성구,배울1로,,,,,,,,
대덕테크노밸리12단지,305-03125,대전광역시 유성구 배울1로 119 (용산동),Y,2010.2.9,,대전광역시,유성구,배울1로,,,,,,,,
대덕테크노밸리12단지,305-03168,대전광역시 유성구 배울1로 119 (용산동),Y,2009.5.17,,대전광역시,유성구,배울1로,,,,,,,,
대덕테크노밸리12단지,305-03165,대전광역시 유성구 배울1로 119 (용산동),Y,2009.7.14,,대전광역시,유성구,배울1로,,,,,,,,
대덕테크노밸리12단지,305-03123,대전광역시 유성구 배울1로 119 (용산동),Y,2009.12.16,,대전광역시,유성구,배울1로,,,,,,,,
대덕테크노밸리12단지,305-03165,대전광역시 유성구 배울1로 119 (용산동),Y,2009.8.24,,대전광역시,유성구,배울1로,,,,,,,,
대덕테크노밸리12단지,305-03304,대전광역시 유성구 배울1로 119 (용산동),Y,2009.6.25,,대전광역시,유성구,배울1로,,,,,,,,
대덕테크노밸리12단지,305-03164,대전광역시 유성구 배울1로 119 (용산동),Y,2009.6.25,,대전광역시,유성구,배울1로,,,,,,,,
대덕테크노밸리12단지,305-03162,대전광역시 유성구 배울1로 119 (용산동),Y,2008.9.9,,대전광역시,유성구,배울1로,,,,,,,,
대덕테크노밸리12단지,305-03165,대전광역시 유성구 배울1로 119 (용산동),Y,2008.9.28,,대전광역시,유성구,배울1로,,,,,,,,
대덕테크노밸리12단지,305-03166,대전광역시 유성구 배울1로 119 (용산동),Y,2008.6.11,,대전광역시,유성구,배울1로,,,,,,,,
대덕테크노밸리12단지,305-03165,대전광역시 유성구 배울1로 119 (용산동),Y,2008.5.22,,대전광역시,유성구,배울1로,,,,,,,,
대덕테크노밸리12단지,305-03158,대전광역시 유성구 배울1로 119 (용산동),Y,2008.2.20,,대전광역시,유성구,배울1로,,,,,,,,
대덕테크노밸리12단지,305-03123,대전광역시 유성구 배울1로 119 (용산동),Y,2008.2.20,,대전광역시,유성구,배울1로,,,,,,,,
기장씨엘늘채움아파트,619-00494,부산광역시 기장군 기장읍 차성남로 8-18 ,Y,2015.8.20,,부산광역시,기장군,기장읍,,,,,,,,
퇴계이안아파트,200-02011,강원도 춘천시 영서로 2169 (퇴계동),Y,2011.9.15,,강원도,춘천시,영서로,,,,,,,,
광장빌딩,422-01292,경기도 부천시 경인로 517  (괴안동),Y,2013.3.11,,경기도,부천시,경인로,,,,,,,,
진량문화회관,712-01811,경상북도 경산시 진량읍 다문로 50 ,Y,2008.5.2,,경상북도,경산시,진량읍,,,,,,,,
"(주)조선일보사(구관,별관)",100-02519,서울특별시 중구 세종대로21길 30 (태평로1가),Y,2008.4.3,,서울특별시,중구,세종대로21길,,,,,,,,
"(주)조선일보사(구관,별관)",100-02519,서울특별시 중구 세종대로21길 30 (태평로1가),Y,2008.4.3,,서울특별시,중구,세종대로21길,,,,,,,,
KT관악지사,151-03185,서울특별시 관악구 청룡1길 34 (봉천동),Y,2014.9.11,,서울특별시,관악구,청룡1길,,,,,,,,
로버트보쉬코리아(유),446-03536,경기도 용인시 기흥구 신수로 567 (보정동),Y,2014.4.23,,경기도,용인시,기흥구,,,,,,,,
유성푸르나임아파트,706-03398,대구광역시 수성구 수성로75길 16 (수성동1가),Y,2010.8.6,,대구광역시,수성구,수성로75길,,,,,,,,
유성푸르나임아파트,706-03402,대구광역시 수성구 수성로75길 16 (수성동1가),Y,2008.12.27,,대구광역시,수성구,수성로75길,,,,,,,,
유성푸르나임아파트,706-03402,대구광역시 수성구 수성로75길 16 (수성동1가),Y,2008.3.1,,대구광역시,수성구,수성로75길,,,,,,,,
우민늘사랑아파트,343-00686,충청남도 당진시 서해로 6216 (시곡동),Y,2010.7.20,,충청남도,당진시,서해로,,,,,,,,
우민늘사랑아파트,343-00691,충청남도 당진시 서해로 6216 (시곡동),Y,2013.11.8,,충청남도,당진시,서해로,,,,,,,,
동작상떼빌오피스텔상가,156-02339,서울특별시 동작구 신대방1가길 38 (신대방동),Y,2010.7.31,,서울특별시,동작구,신대방1가길,,,,,,,,
