address1,address2,applcbedt,applcendt,areano,buldmgtno1,buldmgtno2,buldnm,buldprpos,divgroundfloorcnt,divundgrndfloorcnt,elevatorno,elvtrasignno,elvtrdivnm,elvtrformnm,elvtrkindnm,elvtrmgtno1,elvtrmgtno2,elvtrmodel,elvtrresmptde,elvtrstts,frstinstallationde,inspctinstt,installationde,installationplace,lastinspctde,lastinspctkind,lastresultnm,liveload,manufacturername,manufacturertelno,mnfcturcpnycd,mntcpnycd,mntcpnynm,mntcpnytelno,partcpntnm,partcpnttelno,ratedspeed,shuttlefloorcnt,sigungucd,standardkey,zipcd1,zipcd2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 은평구 연서로 117,(구산동),2014-10-25,2015-10-24,01,122,281,예일여자고등학교,교육연구시설-기타,6,0,1902164,1,소형화물용엘리베이터,권상식-VVVF,화물용(DW),122,3743,확인불가,--,휴지,1999-05-27,한국승강기안전관리원 서울북부지원,2011-10-25,예일여고,2014-11-18,정기,합격,500 Kg,(주)한솔기전,02--445-8773,920040036,920040036,(주)한솔기전,02--445-8773,이길환,02-380-0***,.25 m/min,5,122,99,034,12
서울특별시 은평구 연서로 209,(갈현동),2018-11-30,2020-11-29,01,122,210,보성빌딩,판매시설-기타,7,2,0083810,4,엘리베이터,유압식-교류,자동차용,122,427,확인불가,--,운행중,1997-06-20,한국승강기안전공단 서울서부지사,1997-06-20,1-4,2018-12-11,정기,조건부합격,2000 Kg,롯데알미늄(주)_폐업,02--3270-0596,919920044,920090037,성우승강기(주),02--508-1616,김한중,010-3935-9***,.33 m/min,2,122,20,033,33
서울특별시 은평구 불광천길 502-1,(응암동),2019-01-31,2020-01-30,01,122,993,예청아파트 B동,공동주택-분양,7,0,0080421,1,엘리베이터,권상식-VVVF,승객용,122,1050,확인불가,--,운행중,2002-12-09,한국승강기안전공단 서울서부지사,2002-12-09,B동-1,2019-04-04,정기,조건후합격,550 Kg,대우로얄엘리베이터,032--566-4552,920020064,919930214,(주)뉴텍엘리베이터,02--2606-2462,박권희,010-4287-3***,1 m/min,7,122,8,034,55
서울특별시 은평구 불광로13가길 7-3,(불광동),2019-03-17,2020-03-16,01,122,712,은혜스카이빌,공동주택-분양,11,1,0004990,1,엘리베이터,권상식-VVVF,장애인용,122,1417,GR1,--,운행중,2004-03-17,한국승강기안전공단 서울서부지사,2004-03-17,1-1,2019-03-19,정기,조건부합격,1000 Kg,오티스엘리베이터(유)창원공장,055--289-8235,919990124,919920075,오티스엘리베이터(유)서울,02--2007-5800,관리소장,010-5226-8***,1 m/min,12,122,5,033,54
서울특별시 은평구 갈현로11길 46,(구산동),2019-07-09,2020-07-08,01,122,670,경남아너스빌아파트,공동주택-분양,15,0,0050450,4,엘리베이터,권상식-VVVF,장애인용,122,1434,STVF-2,--,운행중,2004-07-09,한국승강기안전공단 서울서부지사,2004-07-09,102-2,2019-08-02,정기,조건부합격,900 Kg,현대엘리베이터(주),02--3670-0791,919920035,919930409,현대엘리베이터(주)서울사무소,02--3670-0987,승강기담당자,02-352-2***,1.5 m/min,15,122,10,034,28
서울특별시 은평구 녹번로 29-5,(녹번동),2019-02-22,2020-02-21,01,122,392,초우레디안아파트,공동주택-분양,7,0,0080660,1,엘리베이터,권상식-VVVF,승객용,122,890,확인불가,--,운행중,2002-01-23,한국승강기안전공단 서울서부지사,2002-01-23,1-1,2019-04-01,정기,조건부합격,600 Kg,동양엘리베이터(주),02--2675-6187,919930169,920010047,(주)동명엘리베이터,031--413-2880,문점순,02-358-7***,1 m/min,7,122,8,033,80
서울특별시 은평구 서오릉로21길 20,(구산동),2019-01-17,2020-01-16,01,122,115,동익파크1차아파트,공동주택-분양,10,0,0080895,5,엘리베이터,권상식-VVVF,승객용,122,155,GM1,--,운행중,1991-09-01,한국승강기안전공단 서울서부지사,2013-01-23,1-5,2019-03-21,정기,조건후합격,550 Kg,오티스엘리베이터(유)서울,02--2007-5800,919920075,919920075,오티스엘리베이터(유)서울,02--2007-5800,관리소장,(02)385-5***,1 m/min,10,122,13,034,25
서울특별시 은평구 불광로 40-9,(불광동),2019-02-27,2021-02-26,01,122,1706,갤럭시타운,공동주택-분양,1,3,0051591,2,엘리베이터,유압식-교류,자동차용,122,4031,확인불가,--,운행중,2013-02-27,한국승강기안전공단 서울서부지사,2013-02-27,1-2,2019-02-19,정기,조건부합격,3000 Kg,(주)롯데기공,716--0010,919940542,919971170,(주)유원이엠티,02--2635-9220,관리소장(고권식),010-2602-2***,.33 m/min,4,122,3,033,68
서울특별시 은평구 통일로82가길 2,(불광동),2019-10-10,2020-10-09,01,122,447,삼흥아파트,공동주택-분양,6,1,0069940,1,엘리베이터,권상식-VVVF,승객용,122,988,확인불가,--,운행중,2002-09-18,한국승강기안전공단 서울서부지사,2002-09-18,1-1,2019-10-23,정기,조건부합격,750 Kg,한진엘리베이터(주),032--342-7781,919930250,920100020,(주)디에이케이엘리베이터,02--2638-0485,황영숙,02-355-3***,1 m/min,6,122,8,033,44
서울특별시 은평구 통일로 710,(불광동),2019-04-19,2020-04-18,01,122,1004,정승기정형외과,의료시설-기타,4,1,0040073,1,엘리베이터,권상식-VVVF,승객용,122,1937,SSVF5,--,운행중,2007-04-19,한국승강기안전공단 서울서부지사,2007-04-19,1-1,2019-04-24,정기,조건부합격,550 Kg,현대엘리베이터(주),02--3670-0791,919920035,919930409,현대엘리베이터(주)서울사무소,02--3670-0987,승강기 담당자,(02)358-2***,1 m/min,4,122,3,033,68
서울특별시 은평구 통일로 590,(녹번동),2019-10-30,2020-10-29,01,122,48,녹번대림아파트,공동주택-분양,19,2,0084186,6,엘리베이터,권상식-VVVF,승객용,122,234,WBLX1,--,운행중,1993-06-01,한국승강기안전공단 서울서부지사,2018-10-30,2-2,2019-10-29,정기,합격,750 Kg,현대엘리베이터(주),02--3670-0791,919920035,920070053,현대엘리베이터(주)서울,157-7-0603,관리소장,02-387-7***,1.5 m/min,19,122,13,033,74
서울특별시 은평구 통일로 842,(불광동),2019-04-18,2020-04-17,01,122,222,범서기업(주)범서쇼핑,판매시설-백화점,5,1,0070592,1,엘리베이터,권상식-VVVF,전망용,122,419,GM1,--,운행중,1997-10-01,한국승강기안전공단 서울서부지사,2013-04-18,1-1,2019-05-07,정기,합격,1000 Kg,오티스엘리베이터(유)서울,02--2007-5800,919920075,919920075,오티스엘리베이터(유)서울,02--2007-5800,승강기 담당(이길우),02-385-0***,1 m/min,5,122,3,033,50
서울특별시 은평구 진관4로 48-51,(진관동),2019-04-09,2020-04-08,01,122,1142,은평뉴타운상림마을(14단지),공동주택-분양,8,2,0039652,12,엘리베이터,권상식-VVVF,장애인용,122,2259,STVF-5,--,운행중,2008-01-15,한국승강기안전공단 서울서부지사,2008-01-15,738-2,2019-06-07,정기,조건후합격,1000 Kg,현대엘리베이터(주),02--3670-0791,919920035,919930409,현대엘리베이터(주)서울사무소,02--3670-0987,관리소장,(02)355-6***,1 m/min,11,122,10,033,03
서울특별시 은평구 통일로 849,(갈현동),2019-10-02,2020-10-01,01,122,333,서울교통공사3호선연신내역,운수시설-지하철역사,1,2,0102345,7,엘리베이터,권상식-VVVF,장애인용,122,1307,MRL45,--,운행중,2003-12-08,한국승강기안전공단 서울서부지사,2003-12-08,내부-1,2019-10-24,정밀,조건부합격,1000 Kg,한림엘리베이터(주),02--323-6431~3,919930248,919930351,(주)금강테크엘리베이터,02--834-5020,곽도윤,02-6110-4***,.75 m/min,2,122,8,033,30
서울특별시 은평구 서오릉로 168,(갈현동),2018-12-20,2019-12-19,01,122,105,두원빌딩,제2종근린생활시설-기타,5,1,0084803,1,엘리베이터,권상식-VVVF,승객용,122,1816,Di1,--,운행중,1993-11-20,한국승강기안전공단 서울서부지사,2005-12-06,1-1,2018-12-06,정기,조건부합격,550 Kg,오티스엘리베이터(유)창원공장,055--289-8235,919990124,919920075,오티스엘리베이터(유)서울,02--2007-5800,승강기담당자,02-357-2***,1 m/min,6,122,1,033,36
서울특별시 은평구 연서로 213,(갈현동),2019-04-28,2020-04-27,01,122,120,성보빌딩,제1종근린생활시설-기타,6,0,0006845,1,엘리베이터,권상식-VVVF,승객용,122,3577,GR1,--,운행중,2011-04-28,한국승강기안전공단 서울서부지사,2011-04-28,1-1,2019-05-08,정기,조건부합격,750 Kg,오티스엘리베이터(유)창원공장,055--289-8235,919990124,919920075,오티스엘리베이터(유)서울,02--2007-5800,승강기담당,010-5390 -5***,1 m/min,6,122,3,033,31
서울특별시 은평구 증산로 285,(증산동，증산중앙하이츠아파트),2019-04-10,2020-04-09,01,122,356,증산동중앙하이츠아파트,공동주택-분양,18,1,0002550,4,엘리베이터,권상식-VVVF,소방구조/장애인용,122,795,DY20B,--,운행중,2001-04-20,한국승강기안전공단 서울서부지사,2001-04-20,1-4,2019-04-17,정기,조건부합격,1000 Kg,티센크루프엘리베이터코리아(주),02--2610-7777,919920034,919950932,티센크루프엘리베이터코리아(주),02--2610-7777,승강기담당자,(02)372-8***,1.5 m/min,19,122,12,034,99
서울특별시 은평구 은평로 182-8,(응암동),2019-08-12,2020-08-11,01,122,1175,명남 더블레스,공동주택-분양,14,1,0050082,2,엘리베이터,권상식-VVVF,소방구조/장애인용,122,2735,SM1,--,운행중,2009-06-17,한국승강기안전공단 서울서부지사,2009-06-17,B동-1,2019-08-28,정기,합격,900 Kg,오티스엘리베이터(유)서울,02--2007-5800,919920075,919920075,오티스엘리베이터(유)서울,02--2007-5800,관리소장,010-6819-2***,1.5 m/min,15,122,3,034,71
서울특별시 은평구 서오릉로 140,(대조동),2019-08-30,2020-08-29,01,122,1083,선진물산,제2종근린생활시설-기타,3,1,0050756,1,엘리베이터,권상식-VVVF,승객용,122,2386,GR1,--,운행중,2008-07-10,한국승강기안전공단 서울서부지사,2008-07-10,1-1,2019-09-11,정기,조건부합격,550 Kg,오티스엘리베이터(유)창원공장,055--289-8235,919990124,919920075,오티스엘리베이터(유)서울,02--2007-5800,관리소장,010-3115-2***,1 m/min,3,122,3,033,94
서울특별시 은평구 통일로 지하723-1,(대조동),2019-01-02,2020-01-01,01,122,332,서울교통공사3호선불광역,운수시설-지하철역사,1,4,0002833,3,엘리베이터,권상식-VVVF,장애인용,122,1630,MODULAR,--,운행중,2003-12-16,한국승강기안전공단 서울서부지사,2005-02-25,내부-2,2018-12-18,정밀,조건부합격,750 Kg,(주)태성에스컬레이터,02--582-9060,919920078,919930351,(주)금강테크엘리베이터,02--834-5020,곽도윤,02-6110-4***,.75 m/min,2,122,13,033,97
서울특별시 은평구 불광천길 502,(응암동),20191120,20191219,01,122,476,예청아파트 A동,공동주택-분양,7,0,0003638,1,엘리베이터,권상식-VVVF,승객용,122,1049,확인불가,--,운행중,2002-12-09,한국승강기안전공단 서울서부지사,2002-12-09,A-1,2019-11-20,정기,조건부합격,550 Kg,대우로얄엘리베이터,032--566-4552,920020064,919900011,(주)보광엔지니어링,031--384-0010,입주자대표,010-3170-5***,1 m/min,7,122,8,034,55
서울특별시 은평구 갈현로27길 14,(갈현동),2019-04-04,2020-04-03,01,122,134,풍성한알곡교회,종교시설-종교시설,4,0,0005767,1,엘리베이터,권상식-VVVF,승객용,122,361,확인불가,--,운행중,1997-02-21,한국승강기안전공단 서울서부지사,1997-02-21,1-1,2019-05-23,정기,조건후합격,550 Kg,월드이피에스(주),031--471-1110,919930215,920070007,(주)동방엘리베이터,031--413-5120,승강기담당(오세훈),02-352-4***,.75 m/min,4,122,8,033,22
서울특별시 은평구 진흥로 103,(역촌동),2019-03-28,2020-03-27,01,122,148,기린빌딩,제2종근린생활시설-기타,1,1,0005797,2,엘리베이터,유압식-교류,자동차용,122,94,확인불가,--,운행중,1991-09-19,한국승강기안전공단 서울서부지사,1991-09-19,1-2,2019-04-11,정기,조건후합격,2000 Kg,신일엘리베이터,02--271-3283,919930400,920110039,(주)유원한솔엘리베이터,02--980-3668,승강기담당자(관리소장),02)389-5***,.33 m/min,2,122,99,034,04
서울특별시 은평구 증산로15길 35-10,"(신사동, 미성아파트)",2019-07-06,2020-07-05,01,122,177,신사미성아파트,공동주택-분양,15,1,0038582,2,엘리베이터,권상식-VVVF,승객용,122,811,Di1,--,운행중,1987-05-15,한국승강기안전공단 서울서부지사,2001-07-07,1-2,2019-09-05,정기,조건후합격,550 Kg,오티스엘리베이터(유)창원공장,055--289-8235,919990124,920040051,(주)쉰들러엘리베이터 서울,02--3470-2509,승강기담당자,02-306-7***,1 m/min,15,122,1,034,47
서울특별시 은평구 통일로 780,(불광동),2019-03-05,2020-03-04,01,122,90,불광미성아파트,공동주택-분양,15,0,0081571,1,엘리베이터,권상식-교류,승객용,122,103,AC-E4LP,--,운행중,1988-04-30,한국승강기안전공단 서울서부지사,1988-04-30,1-1,2019-06-28,정기,조건후합격,550 Kg,엘지산전(주) 주안공장,032--870-5200,919920033,919920075,오티스엘리베이터(유)서울,02--2007-5800,관리소장,(02)383-8***,1 m/min,15,122,13,033,56
서울특별시 은평구 갈현로1길 36,(신사동),2019-01-13,2020-01-12,01,122,950,신사두산위브아파트,공동주택-분양,12,2,0080769,6,엘리베이터,권상식-VVVF,장애인용,122,1865,Si1,--,운행중,2006-07-10,한국승강기안전공단 서울서부지사,2006-07-10,104-1,2019-01-09,정기,조건부합격,1000 Kg,오티스엘리베이터(유)창원공장,055--289-8235,919990124,919920075,오티스엘리베이터(유)서울,02--2007-5800,최국명,02-353-8***,1 m/min,13,122,5,034,34
서울특별시 은평구 은평로 160,(응암동),2019-05-03,2020-05-02,01,122,738,경향렉스빌아파트,공동주택-분양,25,4,0039988,2,엘리베이터,권상식-VVVF,소방구조/장애인용,122,1459,STVF-2,--,운행중,2004-05-03,한국승강기안전공단 서울서부지사,2004-05-03,1-2,2019-06-21,정기,조건후합격,1000 Kg,현대엘리베이터(주),02--3670-0791,919920035,919930409,현대엘리베이터(주)서울사무소,02--3670-0987,승강기담당자 (조장훈),(02)358-2***,1.75 m/min,28,122,10,034,62
서울특별시 은평구 진관2로 60, (진관동),2019-09-19,2020-09-18,01,122,1145,은평뉴타운마고정2단지아파트,공동주택-분양,15,1,0041501,1,엘리베이터,권상식-VVVF,장애인용,122,2657,LXVF1,--,운행중,2009-05-14,한국승강기안전공단 서울서부지사,2009-05-14,323-1,2019-10-28,정기,조건부합격,1000 Kg,현대엘리베이터(주),02--3670-0791,919920035,919930409,현대엘리베이터(주)서울사무소,02--3670-0987,관리소장,(02)353-1***,1.5 m/min,7,122,3,033,10
서울특별시 은평구 응암로 302-1,(응암동),2019-03-02,2020-03-01,01,122,997,퍼스트지력학원,교육연구시설-기타,5,0,0004468,1,엘리베이터,권상식-VVVF,장애인용,122,1926,GR1,--,운행중,2007-03-02,한국승강기안전공단 서울서부지사,2007-03-02,1-1,2019-03-29,정기,조건부합격,1000 Kg,오티스엘리베이터(유)서울,02--2007-5800,919920075,919990047,(주)제일승강기,031--908-8681,신경희,"02-383-3110,3***",1.5 m/min,5,122,3,034,64
서울특별시 은평구 서오릉로4길 7-8,(녹번동),2019-04-12,2020-04-11,01,122,316,녹번2차현대아파트,공동주택-분양,17,2,0000043,3,엘리베이터,권상식-VVVF,소방구조/장애인용,122,578,STVF,--,운행중,2000-11-17,한국승강기안전공단 서울서부지사,2000-11-17,201-3,2019-04-18,정기,조건부합격,1000 Kg,현대엘리베이터(주),02--3670-0791,919920035,920030089,신성엘리베이터(주)본사,02--335-0897,관리소장,(02)354-2***,1.5 m/min,19,122,10,033,79
